TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PCT_FGA_2PT_RANK,PCT_FGA_3PT_RANK,PCT_PTS_2PT_RANK,PCT_PTS_2PT_MR_RANK,PCT_PTS_3PT_RANK,PCT_PTS_FB_RANK,PCT_PTS_FT_RANK,PCT_PTS_OFF_TOV_RANK,PCT_PTS_PAINT_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,CFID,CFPARAMS,Season
1610612753,Orlando Magic,82,45,37,0.549,49.9,0.744,0.256,0.589,0.169,0.22,0.119,0.191,0.19,0.42,0.525,0.475,0.875,0.125,0.595,0.405,1,12,12,12,20,25,5,24,23,7,21,15,6,15,25,5,4,26,18,12,10,Orlando Magic,1996-97
1610612755,Philadelphia 76ers,82,22,60,0.268,49.7,0.802,0.198,0.626,0.175,0.158,0.138,0.216,0.169,0.451,0.539,0.461,0.716,0.284,0.564,0.436,1,25,25,25,28,11,19,13,22,23,10,2,26,6,22,8,27,3,25,5,10,Philadelphia 76ers,1996-97
1610612756,Phoenix Suns,82,40,42,0.488,49.9,0.787,0.213,0.621,0.193,0.188,0.149,0.192,0.167,0.427,0.623,0.377,0.827,0.173,0.658,0.342,1,15,15,15,18,17,13,14,19,12,7,13,27,13,5,25,9,21,5,25,10,Phoenix Suns,1996-97
1610612757,Portland Trail Blazers,82,49,33,0.598,50.1,0.783,0.217,0.616,0.153,0.185,0.132,0.199,0.176,0.463,0.527,0.473,0.782,0.218,0.57,0.43,1,11,11,11,8,19,11,18,26,14,15,10,18,4,24,6,22,8,24,6,10,Portland Trail Blazers,1996-97
1610612758,Sacramento Kings,82,34,48,0.415,50.0,0.84,0.16,0.654,0.244,0.157,0.135,0.189,0.17,0.41,0.568,0.432,0.8,0.2,0.6,0.4,1,19,19,19,12,4,26,5,4,24,13,19,23,19,16,14,17,13,16,14,10,Sacramento Kings,1996-97
1610612759,San Antonio Spurs,82,20,62,0.244,49.7,0.815,0.185,0.66,0.194,0.153,0.128,0.187,0.169,0.466,0.553,0.447,0.81,0.19,0.587,0.413,1,27,27,27,27,7,23,4,18,25,17,22,24,2,19,11,15,15,21,9,10,San Antonio Spurs,1996-97
1610612760,Seattle SuperSonics,82,57,25,0.695,49.9,0.753,0.247,0.589,0.134,0.203,0.155,0.209,0.209,0.455,0.584,0.416,0.909,0.091,0.644,0.356,1,4,4,4,14,24,6,23,29,9,3,4,1,5,12,18,1,29,7,23,10,Seattle SuperSonics,1996-97
1610612761,Toronto Raptors,82,30,52,0.366,49.9,0.755,0.245,0.59,0.161,0.226,0.184,0.185,0.186,0.428,0.554,0.446,0.74,0.26,0.592,0.408,1,21,21,21,15,22,8,22,24,6,1,24,11,12,18,12,25,5,19,11,10,Toronto Raptors,1996-97
1610612762,Utah Jazz,82,64,18,0.78,50.3,0.855,0.145,0.662,0.221,0.119,0.136,0.22,0.187,0.441,0.688,0.312,0.82,0.18,0.702,0.298,1,2,2,2,4,1,29,3,6,29,12,1,10,9,1,29,13,17,1,29,10,Utah Jazz,1996-97
1610612763,Vancouver Grizzlies,82,14,68,0.171,49.7,0.803,0.197,0.649,0.209,0.183,0.126,0.168,0.173,0.44,0.626,0.374,0.845,0.155,0.661,0.339,1,29,29,29,26,10,20,8,14,15,18,28,19,10,4,26,7,23,4,26,10,Vancouver Grizzlies,1996-97
1610612764,Washington Bullets,82,44,38,0.537,50.0,0.85,0.15,0.706,0.215,0.122,0.146,0.172,0.189,0.491,0.57,0.43,0.849,0.151,0.599,0.401,1,13,13,13,13,3,27,1,8,28,8,27,7,1,15,15,6,24,17,13,10,Washington Bullets,1996-97
1610612737,Atlanta Hawks,82,50,32,0.61,48.5,0.84,0.16,0.649,0.237,0.129,0.114,0.223,0.161,0.411,0.516,0.484,0.748,0.252,0.543,0.457,1,10,10,10,7,18,12,23,17,13,28,4,27,18,26,4,27,3,27,3,10,Atlanta Hawks,1997-98
1610612738,Boston Celtics,82,36,46,0.439,48.1,0.82,0.18,0.66,0.229,0.158,0.159,0.181,0.232,0.431,0.569,0.431,0.814,0.186,0.603,0.397,1,20,20,20,27,23,7,20,19,8,5,27,1,10,20,10,19,11,20,10,10,Boston Celtics,1997-98
1610612766,Charlotte Hornets,82,51,31,0.622,48.2,0.858,0.142,0.662,0.24,0.131,0.146,0.207,0.174,0.422,0.622,0.378,0.899,0.101,0.654,0.346,1,9,9,9,21,15,15,18,16,12,11,13,17,12,5,25,7,23,5,25,10,Charlotte Hornets,1997-98
1610612741,Chicago Bulls,82,62,20,0.756,48.4,0.859,0.141,0.694,0.292,0.118,0.136,0.188,0.184,0.402,0.611,0.389,0.865,0.135,0.637,0.363,1,1,1,1,9,14,16,3,5,21,20,22,13,22,7,23,11,19,10,20,10,Chicago Bulls,1997-98
1610612739,Cleveland Cavaliers,82,47,35,0.573,48.4,0.871,0.129,0.664,0.224,0.118,0.144,0.218,0.209,0.44,0.642,0.358,0.93,0.07,0.672,0.328,1,11,11,11,19,7,23,14,20,20,14,6,2,8,3,27,1,29,3,27,10,Cleveland Cavaliers,1997-98
1610612742,Dallas Mavericks,82,20,62,0.244,48.6,0.825,0.175,0.657,0.294,0.169,0.151,0.175,0.178,0.362,0.475,0.525,0.87,0.13,0.533,0.467,1,24,24,24,6,21,9,21,4,6,8,29,15,29,28,2,10,20,28,2,10,Dallas Mavericks,1997-98
1610612743,Denver Nuggets,82,11,71,0.134,48.1,0.861,0.139,0.655,0.278,0.118,0.145,0.227,0.181,0.377,0.551,0.449,0.799,0.201,0.578,0.422,1,29,29,29,29,11,19,22,7,19,12,2,14,28,23,7,24,6,23,7,10,Denver Nuggets,1997-98
1610612765,Detroit Pistons,82,37,45,0.451,48.7,0.853,0.147,0.665,0.241,0.114,0.143,0.221,0.184,0.425,0.525,0.475,0.843,0.157,0.558,0.442,1,19,19,19,2,16,14,13,15,22,15,5,12,11,25,5,16,14,25,5,10,Detroit Pistons,1997-98
1610612744,Golden State Warriors,82,19,63,0.232,48.4,0.899,0.101,0.734,0.313,0.078,0.131,0.188,0.168,0.421,0.584,0.416,0.831,0.169,0.6,0.4,1,25,25,25,12,1,29,1,1,29,21,23,22,14,16,14,18,12,21,9,10,Golden State Warriors,1997-98
1610612745,Houston Rockets,82,41,41,0.5,48.4,0.744,0.256,0.586,0.187,0.212,0.127,0.202,0.164,0.399,0.552,0.448,0.855,0.145,0.611,0.389,1,17,17,17,11,29,1,29,25,2,24,15,23,23,22,8,13,17,18,12,10,Houston Rockets,1997-98
1610612754,Indiana Pacers,82,58,24,0.707,48.4,0.835,0.165,0.64,0.259,0.153,0.146,0.207,0.187,0.381,0.605,0.395,0.91,0.09,0.647,0.353,1,5,5,5,12,20,10,24,11,9,10,12,9,26,8,22,4,26,8,22,10,Indiana Pacers,1997-98
1610612746,Los Angeles Clippers,82,17,65,0.207,48.2,0.781,0.219,0.612,0.174,0.2,0.155,0.188,0.162,0.438,0.473,0.527,0.752,0.248,0.523,0.477,1,27,27,27,21,26,4,26,27,4,7,21,26,9,29,1,26,4,29,1,10,Los Angeles Clippers,1997-98
1610612747,Los Angeles Lakers,82,61,21,0.744,48.4,0.784,0.216,0.612,0.1,0.172,0.174,0.215,0.172,0.513,0.602,0.398,0.835,0.165,0.639,0.361,1,3,3,3,18,25,5,25,29,5,2,7,19,1,9,21,17,13,9,21,10,Los Angeles Lakers,1997-98
1610612748,Miami Heat,82,55,27,0.671,48.2,0.756,0.244,0.591,0.181,0.211,0.144,0.198,0.169,0.41,0.573,0.427,0.799,0.201,0.617,0.383,1,8,8,8,25,28,2,27,26,3,13,17,20,20,19,11,23,7,15,15,10,Miami Heat,1997-98
1610612749,Milwaukee Bucks,82,36,46,0.439,48.6,0.89,0.11,0.689,0.301,0.096,0.167,0.215,0.188,0.388,0.542,0.458,0.811,0.189,0.565,0.435,1,20,20,20,4,3,27,5,2,26,3,8,6,25,24,6,21,9,24,6,10,Milwaukee Bucks,1997-98
1610612750,Minnesota Timberwolves,82,45,37,0.549,48.7,0.872,0.128,0.689,0.298,0.11,0.141,0.202,0.169,0.39,0.645,0.355,0.746,0.254,0.655,0.345,1,13,13,13,3,6,24,6,3,25,16,14,21,24,2,28,28,2,4,26,10,Minnesota Timberwolves,1997-98
1610612751,New Jersey Nets,82,43,39,0.524,48.5,0.865,0.135,0.672,0.262,0.114,0.14,0.214,0.201,0.41,0.512,0.488,0.903,0.097,0.552,0.448,1,14,14,14,7,8,22,10,10,23,18,9,3,19,27,3,6,24,26,4,10,New Jersey Nets,1997-98
1610612752,New York Knicks,82,43,39,0.524,48.4,0.822,0.178,0.661,0.281,0.153,0.127,0.186,0.188,0.38,0.595,0.405,0.812,0.188,0.624,0.376,1,14,14,14,12,22,8,19,6,10,23,25,7,27,12,18,20,10,12,18,10,New York Knicks,1997-98
1610612753,Orlando Magic,82,41,41,0.5,48.4,0.859,0.141,0.671,0.268,0.119,0.106,0.21,0.176,0.403,0.584,0.416,0.846,0.154,0.611,0.389,1,17,17,17,10,13,17,11,9,18,29,11,16,21,17,13,15,15,17,13,10,Orlando Magic,1997-98
1610612755,Philadelphia 76ers,82,31,51,0.378,48.2,0.874,0.126,0.678,0.236,0.095,0.166,0.227,0.185,0.442,0.581,0.419,0.909,0.091,0.609,0.391,1,22,22,22,26,5,25,8,18,27,4,3,11,7,18,12,5,25,19,11,10,Philadelphia 76ers,1997-98
1610612756,Phoenix Suns,82,56,26,0.683,48.7,0.82,0.18,0.663,0.245,0.158,0.146,0.179,0.186,0.418,0.642,0.358,0.898,0.102,0.677,0.323,1,6,6,6,1,24,6,15,14,7,9,28,10,15,4,26,8,22,2,28,10,Phoenix Suns,1997-98
1610612757,Portland Trail Blazers,82,46,36,0.561,48.4,0.836,0.164,0.662,0.194,0.126,0.127,0.212,0.164,0.468,0.59,0.41,0.787,0.213,0.612,0.388,1,12,12,12,12,19,11,17,24,14,25,10,24,3,14,16,25,5,16,14,10,Portland Trail Blazers,1997-98
1610612758,Sacramento Kings,82,27,55,0.329,48.1,0.879,0.121,0.7,0.254,0.111,0.141,0.189,0.172,0.447,0.596,0.404,0.859,0.141,0.621,0.379,1,23,23,23,27,4,26,2,12,24,17,20,18,6,11,19,12,18,13,17,10,Sacramento Kings,1997-98
1610612759,San Antonio Spurs,82,56,26,0.683,48.4,0.861,0.139,0.684,0.216,0.119,0.117,0.196,0.142,0.468,0.602,0.398,0.917,0.083,0.635,0.365,1,6,6,6,12,12,18,7,23,17,27,18,29,2,10,20,2,28,11,19,10,San Antonio Spurs,1997-98
1610612760,Seattle SuperSonics,82,61,21,0.744,48.2,0.757,0.243,0.59,0.174,0.226,0.157,0.185,0.196,0.416,0.591,0.409,0.884,0.116,0.65,0.35,1,3,3,3,24,27,3,28,28,1,6,26,4,16,13,17,9,21,7,23,10,Seattle SuperSonics,1997-98
1610612761,Toronto Raptors,82,16,66,0.195,48.6,0.841,0.159,0.667,0.217,0.143,0.207,0.19,0.187,0.45,0.569,0.431,0.73,0.27,0.589,0.411,1,28,28,28,4,17,13,12,21,11,1,19,8,5,21,9,29,1,22,8,10,Toronto Raptors,1997-98
1610612762,Utah Jazz,82,62,20,0.756,48.2,0.89,0.11,0.663,0.247,0.09,0.131,0.247,0.163,0.416,0.681,0.319,0.807,0.193,0.692,0.308,1,1,1,1,23,2,28,16,13,28,22,1,25,17,1,29,22,8,1,29,10,Utah Jazz,1997-98
1610612763,Vancouver Grizzlies,82,19,63,0.232,48.4,0.863,0.137,0.677,0.217,0.123,0.138,0.2,0.158,0.46,0.62,0.38,0.917,0.083,0.652,0.348,1,25,25,25,12,9,21,9,22,15,19,16,28,4,6,24,3,27,6,24,10,Vancouver Grizzlies,1997-98
1610612764,Washington Wizards,82,42,40,0.512,48.3,0.861,0.139,0.693,0.271,0.12,0.124,0.187,0.188,0.422,0.589,0.411,0.853,0.147,0.617,0.383,1,16,16,16,20,10,20,4,8,16,26,24,5,13,15,15,14,16,14,16,10,Washington Wizards,1997-98
1610612737,Atlanta Hawks,50,31,19,0.62,48.3,0.829,0.171,0.622,0.236,0.137,0.121,0.241,0.163,0.386,0.477,0.523,0.716,0.284,0.507,0.493,1,7,7,7,17,18,12,23,17,19,22,2,25,22,28,2,28,2,28,2,10,Atlanta Hawks,1998-99
1610612738,Boston Celtics,50,19,31,0.38,48.6,0.818,0.182,0.664,0.222,0.176,0.148,0.16,0.198,0.442,0.532,0.468,0.923,0.077,0.591,0.409,1,22,22,22,7,21,9,10,23,6,7,29,5,5,24,6,5,25,19,11,10,Boston Celtics,1998-99
1610612766,Charlotte Hornets,50,26,24,0.52,48.6,0.802,0.198,0.604,0.239,0.173,0.135,0.223,0.184,0.366,0.624,0.376,0.877,0.123,0.664,0.336,1,16,16,16,5,23,7,26,15,8,12,6,13,28,6,24,10,20,4,26,10,Charlotte Hornets,1998-99
1610612741,Chicago Bulls,50,13,37,0.26,48.3,0.841,0.159,0.665,0.257,0.13,0.11,0.205,0.193,0.408,0.625,0.375,0.938,0.062,0.661,0.339,1,27,27,27,18,11,19,8,9,21,28,17,7,13,5,25,3,27,6,24,10,Chicago Bulls,1998-99
1610612739,Cleveland Cavaliers,50,22,28,0.44,48.2,0.85,0.15,0.639,0.238,0.126,0.129,0.235,0.206,0.401,0.674,0.326,0.896,0.104,0.7,0.3,1,20,20,20,19,9,21,19,16,22,18,4,3,14,2,28,6,24,2,28,10,Cleveland Cavaliers,1998-99
1610612742,Dallas Mavericks,50,19,31,0.38,48.3,0.852,0.148,0.675,0.278,0.132,0.147,0.192,0.165,0.397,0.483,0.517,0.861,0.139,0.527,0.473,1,22,22,22,16,8,22,6,5,20,8,22,24,16,27,3,12,18,27,3,10,Dallas Mavericks,1998-99
1610612743,Denver Nuggets,50,14,36,0.28,48.1,0.769,0.231,0.59,0.21,0.194,0.122,0.216,0.152,0.38,0.536,0.464,0.762,0.238,0.576,0.424,1,26,26,26,27,28,2,29,24,4,21,8,27,24,23,7,26,4,24,6,10,Denver Nuggets,1998-99
1610612765,Detroit Pistons,50,29,21,0.58,48.2,0.817,0.183,0.625,0.234,0.165,0.133,0.21,0.19,0.391,0.551,0.449,0.931,0.069,0.608,0.392,1,10,10,10,26,22,8,22,19,9,14,12,8,20,19,11,4,26,13,17,10,Detroit Pistons,1998-99
1610612744,Golden State Warriors,50,21,29,0.42,48.5,0.865,0.135,0.71,0.298,0.11,0.15,0.18,0.173,0.413,0.575,0.425,0.833,0.167,0.599,0.401,1,21,21,21,8,5,25,2,3,25,5,27,21,12,12,18,20,10,16,14,10,Golden State Warriors,1998-99
1610612745,Houston Rockets,50,31,19,0.62,48.3,0.759,0.241,0.602,0.177,0.214,0.133,0.184,0.155,0.425,0.543,0.457,0.854,0.146,0.603,0.397,1,7,7,7,13,29,1,27,26,1,15,25,26,9,21,9,15,15,14,16,10,Houston Rockets,1998-99
1610612754,Indiana Pacers,50,33,17,0.66,48.4,0.793,0.207,0.607,0.259,0.186,0.097,0.206,0.148,0.348,0.52,0.48,0.878,0.122,0.581,0.419,1,4,4,4,10,24,6,25,8,5,29,16,29,29,25,5,9,21,23,7,10,Indiana Pacers,1998-99
1610612746,Los Angeles Clippers,50,9,41,0.18,48.5,0.833,0.167,0.663,0.194,0.142,0.115,0.195,0.186,0.468,0.432,0.568,0.808,0.192,0.479,0.521,1,28,28,28,8,14,16,11,25,18,25,19,10,3,29,1,24,6,29,1,10,Los Angeles Clippers,1998-99
1610612747,Los Angeles Lakers,50,31,19,0.62,48.2,0.826,0.174,0.646,0.174,0.146,0.122,0.207,0.15,0.473,0.561,0.439,0.817,0.183,0.595,0.405,1,7,7,7,19,19,11,16,27,16,20,14,28,2,17,13,22,8,18,12,10,Los Angeles Lakers,1998-99
1610612748,Miami Heat,50,33,17,0.66,48.1,0.774,0.226,0.597,0.223,0.195,0.113,0.209,0.174,0.374,0.604,0.396,0.751,0.249,0.631,0.369,1,4,4,4,27,26,4,28,22,3,26,13,20,25,7,23,27,3,9,21,10,Miami Heat,1998-99
1610612749,Milwaukee Bucks,50,28,22,0.56,48.2,0.838,0.162,0.664,0.292,0.151,0.135,0.185,0.202,0.372,0.543,0.457,0.883,0.117,0.588,0.412,1,11,11,11,19,12,18,9,4,12,11,24,4,26,22,8,8,22,21,9,10,Milwaukee Bucks,1998-99
1610612750,Minnesota Timberwolves,50,25,25,0.5,48.1,0.905,0.095,0.739,0.371,0.079,0.126,0.183,0.185,0.367,0.649,0.351,0.861,0.139,0.663,0.337,1,17,17,17,27,1,29,1,1,28,19,26,11,27,4,26,13,17,5,25,10,Minnesota Timberwolves,1998-99
1610612751,New Jersey Nets,50,16,34,0.32,48.2,0.837,0.163,0.642,0.247,0.148,0.161,0.211,0.182,0.394,0.508,0.492,0.791,0.209,0.546,0.454,1,25,25,25,19,13,17,18,11,15,4,11,14,17,26,4,25,5,26,4,10,New Jersey Nets,1998-99
1610612752,New York Knicks,50,27,23,0.54,48.4,0.841,0.159,0.649,0.235,0.144,0.113,0.206,0.18,0.414,0.564,0.436,0.827,0.173,0.598,0.402,1,13,13,13,10,10,20,15,18,17,27,15,15,11,16,14,21,9,17,13,10,New York Knicks,1998-99
1610612753,Orlando Magic,50,33,17,0.66,48.2,0.829,0.171,0.655,0.261,0.15,0.142,0.196,0.212,0.393,0.599,0.401,0.852,0.148,0.632,0.368,1,4,4,4,19,17,13,13,7,13,10,18,2,19,8,22,16,14,8,22,10,Orlando Magic,1998-99
1610612755,Philadelphia 76ers,50,28,22,0.56,48.6,0.904,0.096,0.695,0.266,0.066,0.193,0.239,0.224,0.429,0.547,0.453,0.837,0.163,0.564,0.436,1,11,11,11,5,2,28,4,6,29,2,3,1,8,20,10,18,12,25,5,10,Philadelphia 76ers,1998-99
1610612756,Phoenix Suns,50,27,23,0.54,48.2,0.825,0.175,0.643,0.257,0.164,0.149,0.193,0.185,0.386,0.654,0.346,0.939,0.061,0.695,0.305,1,13,13,13,19,20,10,17,10,10,6,21,12,21,3,27,2,28,3,27,10,Phoenix Suns,1998-99
1610612757,Portland Trail Blazers,50,35,15,0.7,48.7,0.829,0.171,0.633,0.239,0.156,0.133,0.211,0.188,0.394,0.574,0.426,0.862,0.138,0.614,0.386,1,3,3,3,4,16,14,20,14,11,16,10,9,18,13,17,11,19,12,18,10,Portland Trail Blazers,1998-99
1610612758,Sacramento Kings,50,27,23,0.54,48.8,0.781,0.219,0.65,0.159,0.174,0.164,0.176,0.179,0.492,0.566,0.434,0.714,0.286,0.589,0.411,1,13,13,13,1,25,5,14,29,7,3,28,17,1,15,15,29,1,20,10,10,Sacramento Kings,1998-99
1610612759,San Antonio Spurs,50,37,13,0.74,48.3,0.863,0.137,0.676,0.23,0.111,0.144,0.213,0.171,0.446,0.598,0.402,0.953,0.047,0.633,0.367,1,1,1,1,13,6,24,5,21,24,9,9,22,4,9,21,1,29,7,23,10,San Antonio Spurs,1998-99
1610612760,Seattle SuperSonics,50,25,25,0.5,48.4,0.774,0.226,0.61,0.172,0.195,0.132,0.194,0.166,0.438,0.569,0.431,0.854,0.146,0.619,0.381,1,17,17,17,10,27,3,24,28,2,17,20,23,7,14,16,14,16,11,19,10,Seattle SuperSonics,1998-99
1610612761,Toronto Raptors,50,23,27,0.46,48.3,0.832,0.168,0.629,0.247,0.149,0.199,0.222,0.179,0.382,0.591,0.409,0.836,0.164,0.624,0.376,1,19,19,19,13,15,15,21,12,14,1,7,16,23,10,20,19,11,10,20,10,Toronto Raptors,1998-99
1610612762,Utah Jazz,50,37,13,0.74,48.7,0.893,0.107,0.662,0.243,0.09,0.134,0.248,0.177,0.419,0.703,0.297,0.843,0.157,0.715,0.285,1,1,1,1,2,3,27,12,13,27,13,1,19,10,1,29,17,13,1,29,10,Utah Jazz,1998-99
1610612763,Vancouver Grizzlies,50,8,42,0.16,48.7,0.882,0.118,0.673,0.232,0.1,0.12,0.227,0.178,0.441,0.557,0.443,0.885,0.115,0.586,0.414,1,29,29,29,2,4,26,7,20,26,23,5,18,6,18,12,7,23,22,8,10,Vancouver Grizzlies,1998-99
1610612764,Washington Wizards,50,18,32,0.36,48.2,0.854,0.146,0.697,0.298,0.118,0.115,0.185,0.197,0.399,0.578,0.422,0.81,0.19,0.602,0.398,1,24,24,24,19,7,23,3,2,23,24,23,6,15,11,19,23,7,15,15,10,Washington Wizards,1998-99
