TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,CFID,CFPARAMS,Season
1610612756,Phoenix Suns,82,40,42,0.488,4090.0,106.7,105.5,1.2,0.658,1.75,19.0,0.271,0.694,0.484,0.149,0.508,0.552,92.97,0.509,1,15,15,15,18,6,18,15,5,2,4,29,11,26,3,7,6,3,14,10,Phoenix Suns,1996-97
1610612757,Portland Trail Blazers,82,49,33,0.598,4111.0,104.6,100.5,4.1,0.57,1.26,16.2,0.325,0.724,0.53,0.175,0.503,0.544,90.46,0.527,1,11,11,11,8,10,7,10,24,25,21,5,2,1,24,10,10,13,11,10,Portland Trail Blazers,1996-97
1610612758,Sacramento Kings,82,34,48,0.415,4100.0,102.0,105.7,-3.7,0.6,1.35,16.9,0.32,0.685,0.5,0.172,0.485,0.526,90.7,0.471,1,19,19,19,12,20,22,20,16,15,16,8,20,15,19,20,20,11,20,10,Sacramento Kings,1996-97
1610612759,San Antonio Spurs,82,20,62,0.244,4074.0,100.5,108.8,-8.3,0.588,1.34,16.4,0.324,0.67,0.491,0.168,0.472,0.512,87.13,0.44,1,27,27,27,27,27,26,28,21,17,19,6,27,21,15,25,26,26,27,10,San Antonio Spurs,1996-97
1610612760,Seattle SuperSonics,82,57,25,0.695,4093.0,108.2,99.5,8.7,0.644,1.57,18.2,0.309,0.691,0.501,0.161,0.51,0.557,89.82,0.562,1,4,4,4,14,3,6,3,7,5,6,12,15,13,6,6,4,16,3,10,Seattle SuperSonics,1996-97
1610612761,Toronto Raptors,82,30,52,0.366,4092.0,101.3,105.1,-3.7,0.592,1.27,16.2,0.325,0.686,0.5,0.174,0.481,0.521,90.46,0.467,1,21,21,21,15,24,17,21,19,22,22,4,17,14,21,22,23,12,21,10,Toronto Raptors,1996-97
1610612762,Utah Jazz,82,64,18,0.78,4123.0,110.5,101.6,9.0,0.702,1.75,20.5,0.297,0.716,0.519,0.165,0.531,0.581,88.86,0.59,1,2,2,2,4,2,11,2,1,3,1,18,4,4,10,1,1,19,1,10,Utah Jazz,1996-97
1610612763,Vancouver Grizzlies,82,14,68,0.171,4076.0,97.6,108.9,-11.3,0.661,1.43,17.9,0.297,0.641,0.467,0.174,0.471,0.507,88.23,0.433,1,29,29,29,26,29,28,29,4,12,7,20,29,29,20,26,28,24,29,10,Vancouver Grizzlies,1996-97
1610612764,Washington Bullets,82,44,38,0.537,4100.0,104.1,102.0,2.1,0.599,1.49,17.9,0.302,0.703,0.505,0.165,0.505,0.54,91.79,0.525,1,13,13,13,13,11,13,13,17,9,8,16,9,9,11,9,14,6,12,10,Washington Bullets,1996-97
1610612737,Atlanta Hawks,82,50,32,0.61,3976.0,105.1,100.8,4.3,0.543,1.29,15.5,0.339,0.691,0.521,0.162,0.481,0.533,90.49,0.532,1,10,10,10,7,5,12,9,27,22,26,4,13,5,11,12,9,28,9,10,Atlanta Hawks,1997-98
1610612738,Boston Celtics,82,36,46,0.439,3946.0,99.1,102.6,-3.5,0.603,1.37,16.6,0.328,0.668,0.484,0.168,0.464,0.504,96.11,0.457,1,20,20,20,27,23,17,22,20,17,18,7,22,23,18,21,23,1,23,10,Boston Celtics,1997-98
1610612766,Charlotte Hornets,82,51,31,0.622,3956.0,104.7,102.7,2.0,0.654,1.56,18.5,0.304,0.708,0.508,0.165,0.495,0.542,91.75,0.526,1,9,9,9,21,8,18,13,5,9,5,19,6,9,14,7,6,22,11,10,Charlotte Hornets,1997-98
1610612741,Chicago Bulls,82,62,20,0.756,3971.0,104.1,96.7,7.3,0.637,1.66,18.0,0.357,0.706,0.531,0.155,0.473,0.516,91.96,0.56,1,1,1,1,9,12,3,3,10,4,9,2,7,1,6,19,19,20,2,10,Chicago Bulls,1997-98
1610612739,Cleveland Cavaliers,82,47,35,0.573,3966.0,99.3,96.0,3.3,0.672,1.33,18.1,0.3,0.711,0.508,0.186,0.478,0.529,92.61,0.528,1,11,11,11,19,22,1,10,3,20,8,22,4,8,29,13,12,16,10,10,Cleveland Cavaliers,1997-98
1610612742,Dallas Mavericks,82,20,62,0.244,3984.0,97.4,104.4,-7.0,0.533,1.3,15.0,0.276,0.651,0.46,0.154,0.458,0.498,92.47,0.446,1,24,24,24,6,27,24,24,28,21,28,29,28,29,5,26,27,18,25,10,Dallas Mavericks,1997-98
1610612743,Denver Nuggets,82,11,71,0.134,3946.0,95.7,109.1,-13.4,0.578,1.18,15.1,0.302,0.663,0.478,0.172,0.44,0.496,92.49,0.407,1,29,29,29,29,28,28,29,23,28,27,20,25,25,21,28,28,17,29,10,Denver Nuggets,1997-98
1610612765,Detroit Pistons,82,37,45,0.451,3995.0,102.5,100.4,2.1,0.558,1.33,15.7,0.309,0.702,0.504,0.159,0.472,0.523,90.7,0.505,1,19,19,19,2,13,9,12,25,19,24,16,8,13,10,20,16,25,16,10,Detroit Pistons,1997-98
1610612744,Golden State Warriors,82,19,63,0.232,3966.0,92.7,102.8,-10.1,0.6,1.25,15.8,0.337,0.686,0.506,0.175,0.427,0.468,94.24,0.423,1,25,25,25,12,29,20,28,21,26,23,5,16,12,23,29,29,9,28,10,Golden State Warriors,1997-98
1610612745,Houston Rockets,82,41,41,0.5,3969.0,104.4,105.6,-1.2,0.611,1.39,17.1,0.298,0.693,0.498,0.167,0.496,0.544,93.65,0.49,1,17,17,17,11,11,25,18,18,16,16,23,12,17,17,6,5,12,18,10,Houston Rockets,1997-98
1610612754,Indiana Pacers,82,58,24,0.707,3966.0,105.6,98.4,7.2,0.647,1.62,18.5,0.279,0.678,0.489,0.157,0.502,0.55,90.5,0.553,1,5,5,5,12,4,5,4,8,7,6,28,18,22,7,4,4,27,4,10,Indiana Pacers,1997-98
1610612746,Los Angeles Clippers,82,17,65,0.207,3956.0,99.9,108.3,-8.4,0.523,1.16,14.7,0.296,0.661,0.477,0.168,0.477,0.518,95.2,0.437,1,27,27,27,21,20,27,26,29,29,29,25,27,27,19,14,18,5,26,10,Los Angeles Clippers,1997-98
1610612747,Los Angeles Lakers,82,61,21,0.744,3966.0,109.2,100.7,8.5,0.639,1.6,18.3,0.316,0.688,0.506,0.159,0.519,0.559,96.11,0.558,1,3,3,3,18,2,11,1,9,8,7,11,15,10,9,2,2,2,3,10,Los Angeles Lakers,1997-98
1610612748,Miami Heat,82,55,27,0.671,3951.0,104.6,98.7,5.9,0.617,1.43,17.2,0.315,0.696,0.512,0.165,0.494,0.538,90.62,0.535,1,8,8,8,25,9,6,6,15,11,14,12,10,7,13,8,8,26,8,10,Miami Heat,1997-98
1610612749,Milwaukee Bucks,82,36,46,0.439,3986.0,100.6,102.4,-1.8,0.565,1.19,15.9,0.314,0.691,0.501,0.18,0.475,0.527,92.84,0.483,1,20,20,20,4,18,16,19,24,27,22,14,14,16,27,18,14,14,20,10,Milwaukee Bucks,1997-98
1610612750,Minnesota Timberwolves,82,45,37,0.549,3990.0,104.8,103.6,1.2,0.655,1.82,18.7,0.306,0.685,0.498,0.144,0.483,0.529,95.4,0.515,1,13,13,13,3,6,22,16,4,1,4,17,17,18,1,10,11,3,13,10,Minnesota Timberwolves,1997-98
1610612751,New Jersey Nets,82,43,39,0.524,3976.0,104.8,103.3,1.4,0.552,1.43,15.6,0.367,0.664,0.506,0.151,0.463,0.513,94.05,0.497,1,14,14,14,7,7,21,14,26,13,25,1,24,11,4,23,22,10,17,10,New Jersey Nets,1997-98
1610612752,New York Knicks,82,43,39,0.524,3966.0,100.4,97.1,3.3,0.624,1.43,17.4,0.295,0.74,0.516,0.167,0.476,0.521,90.79,0.517,1,14,14,14,12,19,4,11,12,12,13,26,1,6,16,15,17,24,12,10,New York Knicks,1997-98
1610612753,Orlando Magic,82,41,41,0.5,3970.0,98.8,100.9,-2.1,0.611,1.35,16.4,0.342,0.669,0.502,0.168,0.452,0.499,89.99,0.489,1,17,17,17,10,24,13,20,17,18,20,3,20,15,20,27,26,29,19,10,Orlando Magic,1997-98
1610612755,Philadelphia 76ers,82,31,51,0.378,3951.0,99.7,102.7,-3.0,0.609,1.28,16.4,0.325,0.673,0.497,0.177,0.462,0.514,93.02,0.478,1,22,22,22,26,21,19,21,19,24,19,8,19,20,25,25,20,13,21,10,Philadelphia 76ers,1997-98
1610612756,Phoenix Suns,82,56,26,0.683,3997.0,104.5,98.8,5.7,0.677,1.72,19.4,0.297,0.7,0.504,0.158,0.5,0.54,93.95,0.547,1,6,6,6,1,10,7,7,2,3,2,24,9,14,8,5,7,11,6,10,Phoenix Suns,1997-98
1610612757,Portland Trail Blazers,82,46,36,0.561,3966.0,100.8,99.5,1.3,0.612,1.28,16.8,0.33,0.714,0.529,0.18,0.476,0.524,92.79,0.512,1,12,12,12,12,17,8,15,16,23,17,6,3,3,28,16,15,15,14,10,Portland Trail Blazers,1997-98
1610612758,Sacramento Kings,82,27,55,0.329,3946.0,98.1,103.8,-5.7,0.621,1.44,17.1,0.302,0.666,0.479,0.163,0.464,0.502,94.77,0.458,1,23,23,23,27,26,23,23,13,10,15,21,23,24,12,22,25,6,22,10,Sacramento Kings,1997-98
1610612759,San Antonio Spurs,82,56,26,0.683,3966.0,101.5,96.2,5.3,0.635,1.4,17.9,0.306,0.722,0.527,0.176,0.493,0.531,90.88,0.551,1,6,6,6,12,15,2,8,11,14,11,18,2,4,24,9,10,23,5,10,San Antonio Spurs,1997-98
1610612760,Seattle SuperSonics,82,61,21,0.744,3953.0,108.5,100.4,8.1,0.651,1.73,18.9,0.287,0.661,0.477,0.151,0.521,0.558,92.45,0.544,1,3,3,3,24,3,10,2,7,2,3,27,26,26,3,1,3,19,7,10,Seattle SuperSonics,1997-98
1610612761,Toronto Raptors,82,16,66,0.195,3986.0,98.5,107.7,-9.2,0.589,1.27,16.1,0.321,0.629,0.469,0.173,0.462,0.504,95.35,0.431,1,28,28,28,4,25,26,27,22,25,21,10,29,28,22,24,24,4,27,10,Toronto Raptors,1997-98
1610612762,Utah Jazz,82,62,20,0.756,3956.0,109.3,102.3,7.0,0.692,1.64,19.5,0.323,0.71,0.529,0.166,0.51,0.569,91.86,0.571,1,1,1,1,23,1,15,5,1,5,1,9,5,2,15,3,1,21,1,10,Utah Jazz,1997-98
