TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,CFID,CFPARAMS,Season
1610612762,Utah Jazz,82,64,18,0.78,50.3,101.6,29.4,0.716,9.1,5.1,16.3,13.0,8.0,34.7,1,2,2,2,4,11,8,4,3,12,7,5,1,5,10,Utah Jazz,1996-97
1610612763,Vancouver Grizzlies,82,14,68,0.171,49.7,108.9,26.3,0.641,8.0,5.7,18.1,16.0,14.4,46.2,1,29,29,29,26,28,28,29,15,6,17,27,22,27,10,Vancouver Grizzlies,1996-97
1610612764,Washington Bullets,82,44,38,0.537,50.0,102.0,29.5,0.703,8.7,4.9,17.2,13.5,12.6,39.9,1,13,13,13,13,13,6,9,8,13,12,9,13,13,10,Washington Bullets,1996-97
1610612737,Atlanta Hawks,82,50,32,0.61,48.5,100.8,29.5,0.691,7.9,6.0,16.4,14.0,13.3,38.2,1,10,10,10,7,12,10,13,18,4,10,9,13,11,10,Atlanta Hawks,1997-98
1610612738,Boston Celtics,82,36,46,0.439,48.1,102.6,24.9,0.668,12.0,4.5,17.7,14.4,15.2,46.8,1,20,20,20,27,17,29,22,1,21,21,13,24,27,10,Boston Celtics,1997-98
1610612766,Charlotte Hornets,82,51,31,0.622,48.2,102.7,28.5,0.708,8.4,3.8,17.1,13.8,13.0,40.9,1,9,9,9,21,18,14,6,11,27,16,8,11,16,10,Charlotte Hornets,1997-98
1610612741,Chicago Bulls,82,62,20,0.756,48.4,96.7,29.7,0.706,8.5,4.3,15.0,13.7,12.3,37.4,1,1,1,1,9,3,6,7,10,23,2,7,8,9,10,Chicago Bulls,1997-98
1610612739,Cleveland Cavaliers,82,47,35,0.573,48.4,96.0,28.4,0.711,9.9,5.1,18.6,12.8,13.2,36.4,1,11,11,11,19,1,17,4,2,15,24,3,12,6,10,Cleveland Cavaliers,1997-98
1610612742,Dallas Mavericks,82,20,62,0.244,48.6,104.4,27.8,0.651,7.9,5.7,16.7,16.4,15.9,44.0,1,24,24,24,6,24,21,28,20,6,13,27,26,24,10,Dallas Mavericks,1997-98
1610612743,Denver Nuggets,82,11,71,0.134,48.1,109.1,26.3,0.663,8.1,4.8,18.9,15.1,12.8,40.8,1,29,29,29,29,28,26,25,16,17,26,19,9,15,10,Denver Nuggets,1997-98
1610612765,Detroit Pistons,82,37,45,0.451,48.7,100.4,28.5,0.702,8.3,4.2,15.6,14.3,11.0,34.3,1,19,19,19,2,9,16,8,14,25,6,10,5,3,10,Detroit Pistons,1997-98
1610612744,Golden State Warriors,82,19,63,0.232,48.4,102.8,30.2,0.686,7.6,5.5,18.5,15.2,13.8,41.0,1,25,25,25,12,20,3,16,25,9,23,21,18,18,10,Golden State Warriors,1997-98
1610612745,Houston Rockets,82,41,41,0.5,48.4,105.6,28.7,0.693,8.4,3.6,17.6,15.6,13.9,41.6,1,17,17,17,11,25,12,12,13,28,20,24,19,19,10,Houston Rockets,1997-98
1610612754,Indiana Pacers,82,58,24,0.707,48.4,98.4,28.6,0.678,7.9,4.5,14.5,14.3,12.2,37.2,1,5,5,5,12,5,13,18,21,20,1,12,7,8,10,Indiana Pacers,1997-98
1610612746,Los Angeles Clippers,82,17,65,0.207,48.2,108.3,27.8,0.661,7.6,5.6,18.7,16.4,14.7,48.0,1,27,27,27,21,27,22,27,24,8,25,28,22,28,10,Los Angeles Clippers,1997-98
1610612747,Los Angeles Lakers,82,61,21,0.744,48.4,100.7,30.1,0.688,9.0,6.8,17.5,15.6,13.3,40.4,1,3,3,3,18,11,4,15,7,3,19,25,14,14,10,Los Angeles Lakers,1997-98
1610612748,Miami Heat,82,55,27,0.671,48.2,98.7,29.5,0.696,8.1,5.2,16.4,14.5,10.8,36.8,1,8,8,8,25,6,9,10,15,11,10,14,4,7,10,Miami Heat,1997-98
1610612749,Milwaukee Bucks,82,36,46,0.439,48.6,102.4,27.3,0.691,8.9,4.4,18.9,13.6,16.8,43.2,1,20,20,20,4,16,23,14,8,22,26,5,27,23,10,Milwaukee Bucks,1997-98
